apple,apple,1.0
apple,apple,1.0
apple,apple,1.0
apple,apple,0.72883
apple,when,0.466105
his,his,1.0
his,his,1.0
his,his,1.0
his,here,0.657248
his,his,1.0
is,his,0.521681
is,his,0.521756
is,his,0.48599
is,is,0.515997
is,his,0.248201
is,his,0.521798
is,his,0.41469
is,his,0.372978
is,if,0.639487
is,if,1.0
as,as,0.786358
as,as,1.0
as,as,0.783739
as,as,1.0
as,as,1.0
as,as,0.805994
as,as,0.82585
as,as,1.0
as,as,1.0
as,as,1.0
apple,blue,0.560439
apple,apple,0.797877
apple,apple,0.522508
apple,apple,1.0
apple,apple,0.644963
apple,apple,0.805455
apple,open,0.521456
apple,apple,1.0
apple,apple,1.0
apple,apple,1.0
his,his,1.0
his,his,1.0
his,his,1.0
his,harris,0.688953
his,his,1.0
red,read,0.850075
red,read,0.850022
red,read,0.849876
red,read,0.849732
red,read,0.686685
red,read,0.849783
red,read,0.768353
red,read,0.849876
red,read,0.849828
red,read,0.781156
green,green,1.0
green,green,1.0
green,green,1.0
green,green,1.0
green,green,1.0
green,green,1.0
green,green,1.0
green,green,1.0
green,green,1.0
green,green,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
alphabet,alphabet,1.0
school,school,1.0
school,school,1.0
school,school,1.0
school,school,1.0
school,school,1.0
school,school,1.0
school,school,1.0
school,school,1.0
school,school,1.0
school,school,1.0
braille,brain,0.577457
braille,braille,1.0
braille,brain,0.577699
braille,braille,1.0
braille,brain,1.0
braille,brain,0.84147
braille,brain,1.0
braille,brain,0.857644
braille,brain,1.0
braille,bray,1.0
ostentatious,ostentatious,1.0
ostentatious,ostentatious,0.439497
ostentatious,ostentatious,1.0
ostentatious,austin,1.0
ostentatious,austin,0.798245
ostentatious,austin,1.0
ostentatious,austin,0.841417
ostentatious,austin,1.0
ostentatious,ostentatious,1.0
ostentatious,ostentatious,1.0
